case_id,preset
1,loose
2,loose
3,loose
4,loose
5,loose
6,loose
7,loose
8,loose
9,loose
10,loose
11,loose
12,loose
13,loose
14,loose
15,loose
16,strict
17,loose
18,loose
19,medium
20,loose
21,loose
22,loose
23,loose
24,loose
25,strict
26,loose
27,loose
28,medium
29,medium
30,loose
31,loose
32,strict
33,loose
34,medium
35,strict
36,strict
37,strict
38,strict
39,strict
40,strict
41,strict
42,strict
43,strict
44,strict
45,strict
46,strict
47,strict
48,strict
49,strict
50,strict
51,strict
52,strict
53,strict
54,strict
55,strict
56,strict
57,strict
58,strict
59,strict
60,strict
61,strict
62,strict
63,strict
64,strict
65,strict
66,strict
67,strict
68,strict
69,strict
70,strict
71,strict
72,strict
73,strict
