seed,fold,train_groups,val_groups,test_groups,train_slides,val_slides,test_slides,test_A_groups,test_B_groups,test_C_groups
1,0,50,7,16,157,21,48,3,5,8
1,1,51,7,15,150,21,45,3,4,8
1,2,51,7,15,173,21,45,3,5,7
1,3,51,7,15,174,21,45,3,5,7
2,0,50,7,16,171,21,48,3,5,8
2,1,51,7,15,166,21,45,3,4,8
2,2,51,7,15,167,21,45,3,5,7
2,3,51,7,15,163,21,45,3,5,7
3,0,50,7,16,165,21,48,3,5,8
3,1,51,7,15,171,21,45,3,4,8
3,2,51,7,15,173,21,45,3,5,7
3,3,51,7,15,163,21,45,3,5,7
4,0,50,7,16,164,21,48,3,5,8
4,1,51,7,15,168,21,45,3,4,8
4,2,51,7,15,159,21,45,3,5,7
4,3,51,7,15,171,21,45,3,5,7
5,0,50,7,16,162,21,48,3,5,8
5,1,51,7,15,168,21,45,3,4,8
5,2,51,7,15,160,21,45,3,5,7
5,3,51,7,15,171,21,45,3,5,7
