seed,fold,group_id,role,stratify_label,eligible_for_eval,n_slides
5,0,39,train,C,True,3
5,0,60,train,C,True,3
5,0,42,train,C,True,3
5,0,31,train,C,True,3
5,0,21,train,B,True,3
5,0,10,train,C,True,3
5,0,37,train,B,True,8
5,0,19,train,C,True,3
5,0,22,train,B,True,3
5,0,27,train,B,True,3
5,0,59,train,C,True,3
5,0,15,train,A,True,3
5,0,40,train,C,True,3
5,0,49,train,C,True,6
5,0,17,train,C,True,3
5,0,71,train,C,True,3
5,0,69,train,A,True,8
5,0,1,train,A,True,3
5,0,38,train,A,True,3
5,0,20,train,B,True,3
5,0,18,train,A,True,3
5,0,34,train,C,True,3
5,0,35,train,B,True,3
5,0,12,train,B,True,3
5,0,61,train,B,True,3
5,0,26,train,A,True,3
5,0,57,train,B,True,3
5,0,68,train,C,True,6
5,0,72,train,B,True,3
5,0,2,train,C,True,3
5,0,14,train,B,True,3
5,0,8,train,C,True,3
5,0,4,train,A,True,3
5,0,47,train,C,True,5
5,0,41,train,B,True,5
5,0,70,train,C,True,5
5,0,36,train,C,True,8
5,0,48,train,A,True,4
5,0,51,train,A,False,2
5,0,53,train,A,False,2
5,0,54,train,A,False,2
5,0,55,train,C,False,2
5,0,56,train,B,False,2
5,0,58,train,B,False,2
5,0,62,train,B,False,2
5,0,63,train,A,False,2
5,0,64,train,B,False,1
5,0,65,train,C,False,1
5,0,66,train,A,False,1
5,0,67,train,C,False,1
5,0,46,val,C,True,5
5,0,3,val,C,True,3
5,0,52,val,C,True,3
5,0,23,val,B,True,3
5,0,45,val,B,True,4
5,0,43,val,C,True,7
5,0,7,val,A,True,3
5,0,5,test,B,True,3
5,0,6,test,A,True,3
5,0,9,test,C,True,3
5,0,11,test,B,True,3
5,0,13,test,C,True,3
5,0,16,test,C,True,4
5,0,24,test,C,True,3
5,0,25,test,C,True,8
5,0,28,test,A,True,3
5,0,29,test,B,True,3
5,0,30,test,B,True,3
5,0,32,test,C,True,4
5,0,33,test,A,True,3
5,0,44,test,C,True,10
5,0,50,test,B,True,3
5,0,73,test,C,True,3
5,1,1,train,A,True,3
5,1,61,train,B,True,3
5,1,6,train,A,True,3
5,1,5,train,B,True,3
5,1,32,train,C,True,4
5,1,26,train,A,True,3
5,1,59,train,C,True,3
5,1,16,train,C,True,4
5,1,41,train,B,True,5
5,1,30,train,B,True,3
5,1,8,train,C,True,3
5,1,31,train,C,True,3
5,1,10,train,C,True,3
5,1,33,train,A,True,3
5,1,50,train,B,True,3
5,1,68,train,C,True,6
5,1,27,train,B,True,3
5,1,37,train,B,True,8
5,1,24,train,C,True,3
5,1,9,train,C,True,3
5,1,28,train,A,True,3
5,1,49,train,C,True,6
5,1,45,train,B,True,4
5,1,52,train,C,True,3
5,1,13,train,C,True,3
5,1,39,train,C,True,3
5,1,48,train,A,True,4
5,1,60,train,C,True,3
5,1,23,train,B,True,3
5,1,14,train,B,True,3
5,1,3,train,C,True,3
5,1,25,train,C,True,8
5,1,29,train,B,True,3
5,1,20,train,B,True,3
5,1,7,train,A,True,3
5,1,36,train,C,True,8
5,1,11,train,B,True,3
5,1,73,train,C,True,3
5,1,43,train,C,True,7
5,1,51,train,A,False,2
5,1,53,train,A,False,2
5,1,54,train,A,False,2
5,1,55,train,C,False,2
5,1,56,train,B,False,2
5,1,58,train,B,False,2
5,1,62,train,B,False,2
5,1,63,train,A,False,2
5,1,64,train,B,False,1
5,1,65,train,C,False,1
5,1,66,train,A,False,1
5,1,67,train,C,False,1
5,1,34,val,C,True,3
5,1,19,val,C,True,3
5,1,35,val,B,True,3
5,1,21,val,B,True,3
5,1,38,val,A,True,3
5,1,44,val,C,True,10
5,1,15,val,A,True,3
